"Country","ICU Beds per 100 000 Population"
"Afghanistan",0.2
"Albania",6.9
"Algeria",1
"Andorra",7.1
"Antigua and Barbuda",0
"Argentina",18.9
"Australia",9.1
"Austria",21.8
"Bahamas",5.6
"Bahrain",2.5
"Bangladesh",0.7
"Barbados",2.8
"Belgium",15.9
"Belize",10.7
"Benin",1
"Bermuda",1.4
"Bhutan",2.2
"Bolivia",1.3
"Bosnia Herzegovina",3
"Botswana",1.6
"Brazil",12.9
"Brunei",13.1
"Bulgaria",12.2
"Burkina Faso",1
"Cambodia",1
"Cameroon",1
"Canada",13.5
"Cayman Islands",34.2
"Central African Republic",1
"Chile",7
"China",3.6
"Colombia",5.3
"Comoros",1.2
"Congo",1
"Congo Democratic Republic",1
"Costa Rica",4.6
"Croatia",14.7
"Cuba",16.6
"Cyprus",11.4
"Czech Republic",11.6
"Denmark",6.7
"Dominica",5.4
"Dominican Republic",4.1
"East Timor",0.8
"Ecuador",7.1
"Egypt",10.6
"El Salvador",0.7
"Eritrea",0.2
"Estonia",14.6
"Ethiopia",1
"Fiji",5
"Finland",6.1
"France",11.6
"Gambia",0.4
"Georgia",13
"Germany",29.2
"Ghana",0.4
"Greece",6
"Greenland",7.1
"Grenada",1.9
"Guatemala",0.7
"Guinea",1
"Guyana",1.5
"Haiti",1.1
"Honduras",1.5
"Hong Kong",7.1
"Hungary",13.8
"Iceland",9.1
"India",2.3
"Indonesia",2.7
"Iran",4.6
"Iraq",1
"Ireland",6.5
"Israel",8.7
"Italy",12.5
"Ivory Coast",0.5
"Jamaica",1.1
"Japan",7.3
"Jordan",2.2
"Kazakhstan",21.3
"Kenya",1
"Kiribati",0
"Kosovo",5.6
"Kuwait",2.2
"Laos",2.1
"Latvia",9.7
"Lebanon",33.3
"Lesotho",0.5
"Liberia",0.7
"Libya",0.8
"Liechtenstein",0
"Lithuania",15.5
"Luxembourg",24.8
"Macedonia",34.4
"Madagascar",1
"Malawi",0.1
"Malaysia",3.4
"Maldives",3.2
"Mali",0.3
"Malta",9.9
"Marshall Islands",0
"Mauritania",1
"Mauritius",1.9
"Mexico",1.2
"Moldova",14.1
"Monaco",59.5
"Mongolia",8.8
"Morocco",4.6
"Mozambique",1
"Myanmar",1.1
"Namibia",3.4
"Nauru",0
"Nepal",2.8
"Netherlands",6.4
"New Zealand",3.7
"Niger",1
"Nigeria",0.2
"Norway",8
"Oman",14.6
"Pakistan",1.5
"Palau",0
"Palestinian Territories",1.4
"Panama",1.5
"Papua New Guinea",1
"Paraguay",10.8
"Peru",1.1
"Philippines",2.2
"Poland",6.9
"Portugal",4.2
"Qatar",11.8
"Romania",21.4
"Russian Federation",8.3
"Rwanda",0.3
"St. Kitts & Nevis",10.9
"St. Lucia",5.6
"St. Vincent & The Grenadines",1.8
"Samoa",2
"San Marino",15
"Saudi Arabia",22.8
"Senegal",0.2
"Serbia",3.9
"Seychelles",6.3
"Sierra Leone",1
"Singapore",11.4
"Slovakia",9.2
"Slovenia",6.4
"Solomon Islands",0
"Somalia",0.1
"South Africa",8.9
"South Korea",10.6
"South Sudan",0
"Spain",9.7
"Sri Lanka",2.3
"Sudan",0.5
"Suriname",4.8
"Swaziland",0.4
"Sweden",5.8
"Switzerland",11
"Syria",1.8
"Taiwan",28.8
"Tajikistan",6.7
"Tanzania",1
"Thailand",10.4
"Togo",1
"Tonga",0
"Trinidad & Tobago",2.1
"Tunisia",4.3
"Turkey",30.9
"Tuvalu",8.9
"Uganda",1
"Ukraine",12
"United Arab Emirates",12.7
"United Kingdom",6.6
"United States",34.7
"Uruguay",20.9
"Vanuatu",0
"Venezuela",0.3
"Vietnam",0.4
"Yemen",3.4
"Zambia",0.6
"Zimbabwe",0.2
